Grapheme	IPA	Frequency	CLTS	Examples	Languages
aou	a	1	unrounded open front vowel	jaoukuyta	omagua
au	au	35	from unrounded open front to rounded close back diphthong	au, auhu, auka	anambe, arawete, arua, asurinidoxingu, cocamacocamilla, emerillonteko, guajajara, guarayo, juruna, kamayura, kayabi, nheengatu, parintintin, sateremawe, suruiaikewara, tembe, tenharim, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki
aua	a	1	unrounded open front vowel	jauajera	nheengatu
ay	ay	6	from unrounded open front to rounded close front diphthong	etaybin, hay, kaypatpan	munduruku, omagua, suruipaiter, wayampi
aya	a	2	unrounded open front vowel	malakaya, wapaya	tapiete, wayampi
ayau	a	1	unrounded open front vowel	tayau	wayampi
ayu	a	1	unrounded open front vowel	mayu	guaja
ayã	a	1	unrounded open front vowel	rurayã	guayakiache
ayú	a	1	unrounded open front vowel	apayú	juruna
ayĩ	a	1	unrounded open front vowel	yaʔayĩ	wayampi
ayɨ	a	1	unrounded open front vowel	yawayɨ	wayampi
aà	a	3	unrounded open front vowel	kaà, paàt	gaviaoikoloehj
aá	a	5	unrounded open front vowel	aán, kwinaá, paádja'ʔo	arikem, aweti, gaviaoikoloehj, monde
aã	a	11	unrounded open front vowel	akaãŋ, kudaã, maã	akuntsu, apiaka, nheengatu, purubora, tapirapeapyawa, xipaya
aí	a	4	unrounded open front vowel	asaí, aíkõn, haímbe	kuruaya, mekenssakurabiat, nheengatu, tapiete
aõ	a	4	unrounded open front vowel	aõdaʔ, jaõpi, kaõg	arikem, kuruaya, munduruku, wayoro
aú	a	2	unrounded open front vowel	jarakatʃiʔaú, mbaú	asurinidotocantins, nheengatu
aĩ	aĩ	15	from unrounded open front to nasalized unrounded close front diphthong	anaĩbɨa, aĩ, aĩbí	chiripanandevaavaguarani, guaja, guaraniparaguay, guarayo, juruna, kuruaya, mbya, parintintin, purubora, yuki
aĩa	a	1	unrounded open front vowel	ɲaĩatɨ	mbya
aĩ́	a	1	unrounded open front vowel	aĩ́hĩ́	munduruku
aũ	a	4	unrounded open front vowel	ataũ, aũnda, mákũdaũ	juruna, wayoro, xipaya
aũi	a	1	unrounded open front vowel	aũi	zoe
aɤa	a	1	unrounded open front vowel	kaɤakarã	avacanoeiro
aɨ	aɨ	78	from unrounded open front to unrounded close central diphthong	awaɨpam, aɨ, aɨmanta	akuntsu, amondawa, arikem, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiripanandevaavaguarani, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaraniparaguay, guarayo, guayakiache, kaaporurubu, kamayura, karoarara, kayabi, makurap, mbya, mekenssakurabiat, parakana, sateremawe, tapiete, tupari, urueuwauwau, warazupauserna, wayampi, wayoro
aɨa	a	2	unrounded open front vowel	aɨam, pʷaɨanti	omagua, tupari
aɨya	a	1	unrounded open front vowel	kwalaɨya	wayampi
aɨ̃	a	3	unrounded open front vowel	aɨ̃, aɨ̃j, maɨ̃j	avacanoeiro, mbya, tapirapeapyawa
ã	ã	130	nasalized unrounded open front vowel	anãtŋa, aɲãj, ã	akuntsu, apiaka, arua, aweti, gaviaoikoloehj, guaraniparaguay, kaaporurubu, karitiana, karoarara, mbya, mekenssakurabiat, purubora, siriono, suruipaiter, tapiete, tapirapeapyawa, tupari, xeta, zoro
ãa	a	1	unrounded open front vowel	mãamgap	arua
ãã	ãː	17	long nasalized unrounded open front vowel	ako-kããj, ãã, jokããt	arua, gaviaoikoloehj, zoro
ãe	a	1	unrounded open front vowel	kirãe	siriono
ãi	a	1	unrounded open front vowel	ãi	aweti
ão	a	2	unrounded open front vowel	tãʃão, ʃãok	tapirapeapyawa
ã̃	a	2	unrounded open front vowel	ĩnĩpɨʔã̃, jã̃	akuntsu, apiaka
aẽ	a	10	unrounded open front vowel	amaẽ, aẽre, kwaẽ	akuntsu, amondawa, juruna, mbya, parintintin, siriono, suruipaiter, tenharim, urueuwauwau
b	b	1098	voiced bilabial stop consonant	-taba, aawob, aba	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, emerillonteko, gaviaoikoloehj, guaja, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, karitiana, karoarara, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parintintin, purubora, sateremawe, siriono, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, wayoro, xeta, xipaya, yuki, zoe, zoro
bh	bʰ	1	aspirated voiced bilabial stop consonant	ibhin	suruipaiter
bw	bʷ	9	labialized voiced bilabial stop consonant	ambwa, bwaʔa, bwe	guayakiache, yuki
c	c	4	voiceless palatal stop consonant	macaco, maracaja, tecumã	emerillonteko, nheengatu
d	d	627	voiced alveolar stop consonant	ad, adaat, adadaat	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, chiriguano, chiripanandevaavaguarani, cintalarga, emerillonteko, gaviaoikoloehj, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parintintin, purubora, sateremawe, siriono, suruipaiter, tapiete, tapirapeapyawa, tenharim, urueuwauwau, wayoro, xeta, xipaya, yuki, zoe, zoro
ds	d	3	voiced alveolar stop consonant	ndsbate, ondsajti	monde
dw	dʷ	6	labialized voiced alveolar stop consonant	edwɨaraha, mendwir, mundwi	apiaka, nheengatu, tapiete, zoe
dʒ	dʒ	391	voiced post-alveolar sibilant affricate consonant	adudʒa, adʒa, adʒahi	amondawa, anambe, arawete, arikem, arua, asurinidoxingu, avacanoeiro, chiriguano, chiripanandevaavaguarani, cintalarga, emerillonteko, gaviaoikoloehj, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juruna, kaiowa, karitiana, kayabi, kuruaya, makurap, mbya, monde, munduruku, parakana, parintintin, siriono, suruiaikewara, suruipaiter, tapiete, tenharim, urueuwauwau, wayoro, xeta, xipaya, zoe, zoro
dʒw	d	1	voiced alveolar stop consonant	dʒweʔe	guayakiache
d̥	d̥	1	devoiced voiced alveolar stop consonant	mirad̥a	xeta
e	e	4162	unrounded close-mid front vowel	-apekot, -eʔá, -ire	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
ea	ea	69	from unrounded close-mid front to unrounded open front diphthong	apeape, batea, bekerea	akuntsu, amondawa, apiaka, arikem, asurinidoxingu, avacanoeiro, chiriguano, cocamacocamilla, emerillonteko, gaviaoikoloehj, guajajara, guarayo, juruna, kaiowa, kamayura, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parakana, parintintin, sateremawe, siriono, suruipaiter, tembe, tenharim, tupari, urueuwauwau, wayampi, wayoro, xeta, xipaya
eae	e	1	unrounded close-mid front vowel	ereaerea	makurap
eai	e	1	unrounded close-mid front vowel	teain	monde
eay	e	1	unrounded close-mid front vowel	jejeay	yuki
eã	e	1	unrounded close-mid front vowel	mamaʔeãj	tapirapeapyawa
ee	eː	45	long unrounded close-mid front vowel	beera, beeraa, ee	arua, chiriguano, cintalarga, gaviaoikoloehj, karitiana, kayabi, makurap, mbya, mekenssakurabiat, monde, munduruku, parakana, siriono, suruipaiter, tupari, wayampi, zoro
eẽ	e	1	unrounded close-mid front vowel	peẽ	tapirapeapyawa
ei	ei	66	from unrounded close-mid front to unrounded close front diphthong	atʃeiwe, aʔeite, deim	amondawa, anambe, asurinidoxingu, chiriguano, cocamacocamilla, emerillonteko, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, kaaporurubu, kaiowa, kamayura, karoarara, kuruaya, makurap, mbya, munduruku, parakana, parintintin, sateremawe, siriono, suruiaikewara, tapiete, tapirapeapyawa, tembe, tenharim, tupari, warazupauserna, wayampi, xeta, zoe
eia	e	1	unrounded close-mid front vowel	seiat	mekenssakurabiat
eo	eo	21	from unrounded close-mid front to rounded close-mid back diphthong	aseo, aʔ-peonpeʔ, dʒeorok	akuntsu, amondawa, asurinidotocantins, chiriguano, karitiana, karoarara, makurap, munduruku, parintintin, siriono, tenharim, urueuwauwau, wayampi, wayoro, xeta
eoi	e	1	unrounded close-mid front vowel	eoi	avacanoeiro
eu	eu	25	from unrounded close-mid front to rounded close back diphthong	dʒeupi, euta, idʒeu	arikem, avacanoeiro, chiriguano, emerillonteko, guajajara, guaraniparaguay, guarayo, kaaporurubu, kaiowa, kayabi, mbya, nheengatu, purubora, siriono, suruiaikewara, tenharim, xeta, xipaya
ey	e	3	unrounded close-mid front vowel	geytoʔ, mamey, wasey	arikem, cintalarga, wayampi
eyu	e	1	unrounded close-mid front vowel	teyu	wayampi
eá	e	7	unrounded close-mid front vowel	areá, eámɨ, kutpireá	gaviaoikoloehj, guaja, monde, xipaya
eã	e	5	unrounded close-mid front vowel	eã, eãkʷãtoj, kbereã	anambe, guayakiache, siriono, tapirapeapyawa
eé	e	1	unrounded close-mid front vowel	ʃeé	munduruku
eí	e	3	unrounded close-mid front vowel	eím, eíra, tɨpeí	cintalarga, guaraniparaguay, guarayo
eõ	e	2	unrounded close-mid front vowel	kaneõ	emerillonteko, kamayura
eú	e	1	unrounded close-mid front vowel	mombeú	arawete
eĩ	e	6	unrounded close-mid front vowel	kjeĩ, peteĩ	guaraniparaguay, kaaporurubu, kaiowa, mbya, siriono, yuki
eũ	e	2	unrounded close-mid front vowel	meũ, weʔeũja	juruna, sateremawe
eə	eə	1	from unrounded close-mid front to unrounded mid central diphthong	dʒeəm	munduruku
eɨ	e	27	unrounded close-mid front vowel	eɨ, eɨnir, eɨpɨʔã	akuntsu, amondawa, arikem, guajajara, guarayo, guayakiache, kaaporurubu, kamayura, makurap, mekenssakurabiat, sateremawe, siriono, tupari, warazupauserna
eɨ̃	e	2	unrounded close-mid front vowel	eɨ̃, ɨreɨ̃	siriono
ẽ	ẽ	39	nasalized unrounded close-mid front vowel	akẽ, anẽm, aʃẽj	anambe, arua, aweti, gaviaoikoloehj, guaraniparaguay, kaaporurubu, karitiana, karoarara, mekenssakurabiat, parintintin, purubora, sateremawe, siriono, suruipaiter, tapiete, tapirapeapyawa, tupari, xeta, zoro
ẽẽ	ẽː	6	long nasalized unrounded close-mid front vowel	ii-jẽẽj, kɨmẽẽpo, mẽẽk	arua, gaviaoikoloehj, mekenssakurabiat, zoro
e͂	e	2	unrounded close-mid front vowel	ape͂, poape͂	guaraniparaguay, guarayo
eẽ	e	5	unrounded close-mid front vowel	peẽ, seẽ, tɨneẽ	chiriguano, guaraniparaguay, mbya, nheengatu
f	f	8	voiceless labio-dental fricative consonant	arafuʔa, feʃãw, fuku	asurinidoxingu, chiripanandevaavaguarani, kaiowa, kayabi
fw	fʷ	1	labialized voiceless labio-dental fricative consonant	fwakar	kayabi
g	g	542	voiced velar stop consonant	aga, agaap, agaja	akuntsu, amondawa, anambe, apiaka, arikem, arua, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, kaaporurubu, kaiowa, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapirapeapyawa, tembe, tenharim, urueuwauwau, wayampi, wayoro, xeta, yuki, zoe, zoro
gg	g	1	voiced velar stop consonant	saragga	karitiana
gw	gʷ	11	labialized voiced velar stop consonant	hoko-gwi, jiaragwe, najʤagwɨ	amondawa, chiriguano, monde, parintintin, tenharim, wayoro, xeta
gʷ	gʷ	155	labialized voiced velar stop consonant	agʷa, agʷara, agʷaraʔi	amondawa, apiaka, chiriguano, chiripanandevaavaguarani, emerillonteko, guaraniparaguay, guarayo, guayakiache, jiahoi, kaiowa, kayabi, mbya, omagua, parintintin, siriono, tenharim, urueuwauwau, wayoro, xeta, yuki
gʷw	g	1	voiced velar stop consonant	gʷwatsu	chiripanandevaavaguarani
h	h	1222	voiceless glottal fricative consonant	adʒahi, adʒiha, adʒuruhu	akuntsu, amondawa, anambe, apiaka, arawete, arikem, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, munduruku, nheengatu, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, xeta, xipaya, yuki, zoe
hw	hʷ	4	labialized voiceless glottal fricative consonant	hwape, hwaratã, jakupemuhwã	amondawa, kamayura
hʷ	hʷ	3	labialized voiceless glottal fricative consonant	hʷa, hʷat, hʷãʔi	kamayura
i	i	4298	unrounded close front vowel	-ire, -iʔã, -le-miʔu	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
ia	ia	230	from unrounded close front to unrounded open front diphthong	akutia, alia, amajkiati	akuntsu, amondawa, anambe, apiaka, arikem, asurinidotocantins, asurinidoxingu, avacanoeiro, chiriguano, cintalarga, cocamacocamilla, gaviaoikoloehj, guaja, guajajara, guarayo, guayakiache, jiahoi, jora, juruna, kaaporurubu, kamayura, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayoro, xeta, xipaya, yuki, zoe, zoro
iaa	i	2	unrounded close front vowel	arariaa, tagiaa	monde, suruipaiter
iao	i	1	unrounded close front vowel	ɲiao	siriono
iau	i	1	unrounded close front vowel	mboriau	mbya
iaá	i	1	unrounded close front vowel	kiaá	siriono
iã	iã	2	from unrounded close front to nasalized unrounded open front diphthong	kiãmbarĩ, tiniãwatu	aweti, siriono
ie	ie	25	from unrounded close front to unrounded close-mid front diphthong	bieraj, ehie, epie	amondawa, apiaka, arawete, guarayo, jora, kuruaya, mbya, munduruku, nheengatu, parintintin, siriono, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, zoe
ii	iː	95	long unrounded close front vowel	amii, aŋiibe, batiigʔa	arua, chiriguano, cintalarga, emerillonteko, gaviaoikoloehj, guaja, guarayo, karitiana, karoarara, makurap, mekenssakurabiat, monde, nheengatu, purubora, siriono, suruipaiter, tupari, wayampi, wayoro, zoro
io	io	30	from unrounded close front to rounded close-mid back diphthong	andioti, ariot, bio	amondawa, asurinidoxingu, avacanoeiro, chiriguano, emerillonteko, guarayo, guayakiache, jiahoi, jora, kuruaya, makurap, mekenssakurabiat, munduruku, parakana, siriono, tapirapeapyawa, tenharim, tupari, urueuwauwau, wayoro, xeta, yuki
iõ	iõ	1	from unrounded close front to nasalized rounded close-mid back diphthong	tsiõp-tem	karoarara
iu	iu	29	from unrounded close front to rounded close back diphthong	adúriu, amaniu, amõkiusuʔap	amondawa, apiaka, aruashi, avacanoeiro, chiriguano, cocamacocamilla, juruna, kayabi, nheengatu, omagua, parintintin, sateremawe, tenharim, urueuwauwau, xipaya, yuki
iya	i	1	unrounded close front vowel	kuwawiya	wayampi
iyu	i	1	unrounded close front vowel	kapiyuwa	wayampi
iyã	i	1	unrounded close front vowel	uwiyã	wayampi
iá	i	8	unrounded close front vowel	biá, dʒiá, iá	chiriguano, gaviaoikoloehj, juruna, nheengatu, purubora, yuki
iã	iã	18	from unrounded close front to nasalized unrounded open front diphthong	aniãŋ, atiã, berasiã	arawete, avacanoeiro, makurap, sateremawe, siriono, tapiete, tapirapeapyawa, xipaya, yuki
iãã	i	1	unrounded close front vowel	iãã	yuki
ié	i	1	unrounded close front vowel	piéb	gaviaoikoloehj
ií	i	1	unrounded close front vowel	ií	nheengatu
iõ	iõ	4	from unrounded close front to nasalized rounded close-mid back diphthong	diʃiõ, piõn, pãriõ	apiaka, makurap, parakana, siriono
iũ	iũ	4	from unrounded close front to nasalized rounded close back diphthong	nasiũna, tiũ, ɲatiũ	apiaka, avacanoeiro, xeta, yuki
iə̃	iə̃	1	from unrounded close front to nasalized unrounded mid central diphthong	hiə̃kʷaa	xeta
iɨ	iɨ	2	from unrounded close front to unrounded close central diphthong	ajiɨ, niɨt	aweti, wayampi
ĩ	ĩ	44	nasalized unrounded close front vowel	anĩt, atĩ, aʔ-naʔĩn	apiaka, arua, aweti, gaviaoikoloehj, guaraniparaguay, kaaporurubu, karitiana, karoarara, mekenssakurabiat, purubora, siriono, tapirapeapyawa, tembe, xeta, zoro
ĩĩ	ĩː	6	long nasalized unrounded close front vowel	kããlĩĩ, mĩĩna, βaakĩĩ	arua, gaviaoikoloehj, purubora, suruipaiter, zoro
j	j	2350	voiced palatal approximant consonant	abaibitirõnkja, abijú, agaja	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
jh	dʒʰ	4	aspirated voiced post-alveolar sibilant affricate consonant	bijhaj, ehãjhu, katajhaj	amondawa, tembe, xeta
js	j	5	voiced palatal approximant consonant	jsej, kajser, kɨjse	apiaka, arikem, makurap, mekenssakurabiat, omagua
jw	dʒʷ	7	labialized voiced post-alveolar sibilant affricate consonant	dʒebəjwan, kʷejwehe, mujwasu	aweti, munduruku, omagua, suruiaikewara, suruipaiter, tupari
jʃ	j	7	voiced palatal approximant consonant	ajʃo, jajʃi, ktajʃi	cocamacocamilla, kaiowa, mbya, munduruku, purubora, tapiete
jʒ	j	1	voiced palatal approximant consonant	hajʒjaj	xeta
j̃	j̃	16	nasalized voiced palatal approximant consonant	ej̃uŋ, j̃epẽi, j̃uʔi	apiaka, arawete, asurinidoxingu, guarayo, karoarara, mbya, munduruku, sateremawe, tapiete, wayampi, yuki, zoe
k	k	4769	voiceless velar stop consonant	-apekot, abaibitirõnkja, abakaʃi	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
kh	kʰ	1	aspirated voiceless velar stop consonant	ɨkha	siriono
kk	kk	3	from voiceless velar stop to voiceless velar stop cluster	dʒitãkka, kokkok, nhɨkkɨjɨ̃mõ	arua, karitiana, munduruku
ks	k	2	voiceless velar stop consonant	aksɨa, kuksa	monde, omagua
kw	kʷ	47	labialized voiceless velar stop consonant	aikwesa, akwa, akwatpe	akuntsu, amondawa, aweti, cocamacocamilla, guajajara, jora, mbya, mekenssakurabiat, monde, nheengatu, omagua, suruiaikewara, tapiete, tembe, tenharim, wayampi, xeta, zoe
kʃ	k	1	voiceless velar stop consonant	kʃabi	munduruku
kʲ	kʲ	2	palatalized voiceless velar stop consonant	kʲa	siriono, zoe
kʷ	kʷ	433	labialized voiceless velar stop consonant	adɨkʷər, aikʷar, aikʷat	akuntsu, amondawa, anambe, apiaka, arikem, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cocamacocamilla, emerillonteko, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, juma, juruna, kaaporurubu, kaiowa, kamayura, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, nheengatu, omagua, parakana, parintintin, sateremawe, siriono, suruiaikewara, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe
kʷs	k	1	voiceless velar stop consonant	kʷsi	apiaka
kʷw	k	3	voiceless velar stop consonant	kʷwasew, mbaʔekʷw, sekʷwabiã	tapiete, xipaya, yuki
l	l	314	voiced alveolar lateral approximant consonant	-le-miʔu, abookãlĩ, akale	arikem, arua, avacanoeiro, aweti, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, juruna, kaiowa, kuruaya, makurap, monde, nheengatu, suruipaiter, wayampi, wayoro, yuki, zoro
lʒ	l	11	voiced alveolar lateral approximant consonant	akulʒi, awɨlʒa, delʒek	juruna, kuruaya
