ID	ALIGNMENT	CLASSES	COGID	COGIDS	COGNACY	CONCEPT	DOCULECT	DUPLICATES	FORM	IPA	LANGID	LANGUAGE_NAME	MORPHEMES	NUMBERS	PROSTRINGS	SONARS	TOKENS	VALUE	WEIGHTS	NOTE	BORROWING
14	- j a n o ʔ n o n	JANUHNUN	3692	1937	machado1a	AXE	Karo	0	janoʔnon	janoʔnon	36	Karo (Arara)	AXE	36.J.C 36.A.V 36.N.C 36.U.V 36.H.C 36.N.C 36.U.V 36.N.c	AXBYBCYN	6 7 4 7 1 4 7 4	j a n o ʔ n o n	janoʔnon	2.0 1.5 1.75 1.3 1.75 1.5 1.3 0.8		
15	- ɨu - k a p	IKAP	104	2600	acai	AÇAÍ PALM	Karo	0	ɨukap	ɨukap	36	Karo (Arara)	AÇAÍ	36.I.V 36.K.C 36.A.V 36.P.c	XBYN	7 1 7 1	ɨu k a p	ɨukap	1.5 1.75 1.3 0.8		
16	p e r e ʔ t e p	PEREHTEP	4247	2609	costas	BACK	Karo	0	pereʔtep	pereʔtep	36	Karo (Arara)	BACK	36.P.C 36.E.V 36.R.C 36.E.V 36.H.c 36.T.C 36.E.V 36.P.c	AXBYMBYN	1 7 5 7 1 1 7 1	p e r e ʔ t e p	pereʔtep	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8		
17	m a ʔ t e k	MAHTEK	128	841	babacu	BABAÇU	Karo	0	maʔtek	maʔtek	36	Karo (Arara)	BABAÇU	36.M.C 36.A.V 36.H.c 36.T.C 36.E.V 36.K.c	AXMBYN	4 7 1 1 7 1	m a ʔ t e k	maʔtek	2.0 1.5 1.1 1.75 1.3 0.8		
18	j á - - r o - - - + tʃ a - k - - + t o p	JARU_SAK_TUP	135	910 915 909	maumalruim	BAD / EVIL	Karo	0	járo tʃak top	já/aro+ʃak+top	36	Karo (Arara)	BAD _bad _bad	36.J.C 36.A.V 36.R.C 36.U.V 36._._ 36.S.C 36.A.V 36.K.c 36._._ 36.T.C 36.U.V 36.P.c	AXBZ_AXN_AXN	6 7 5 7 9 3 7 1 9 1 7 1	j á r o + tʃ a k + t o p	járo tʃak top	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8 0.0 2.0 1.5 0.8		
19	p a j a n	PAJAN	153	968	taquarabambu	BAMBOO	Karo	0	pajan	pajan	36	Karo (Arara)	BAMBOO	36.P.C 36.A.V 36.J.C 36.A.V 36.N.c	AXBYN	1 7 6 7 4	p a j a n	pajan	2.0 1.5 1.75 1.3 0.8		
20	- i w a	IWA	160	1015	banana8	BANANA	Karo	0	iwa	iwa	36	Karo (Arara)	BANANA	36.I.V 36.W.C 36.A.V	XBZ	7 6 7	i w a	iwa	1.5 1.75 0.8		
21	- a ɲ ã - - - - j -	ANAJ	3990	2344	cestocesta	BASKET	Karo	0	aɲãj	aɲãj	36	Karo (Arara)	BASKET	36.A.V 36.N.C 36.A.V 36.J.c	XBYN	7 4 7 6	a ɲ ã j	aɲãj	1.5 1.75 1.3 0.8		
22	- i j o	IJU	176	1149	morcego0	BAT	Karo	0	ijo	ijo	36	Karo (Arara)	BAT	36.I.V 36.J.C 36.U.V	XBZ	7 6 7	i j o	ijo	1.5 1.75 0.8		
23	- - - j a ʔ m o j -	JAHMUJ	178	1207	banharse	BATHE	Karo	0	jaʔmoj	jaʔmoj	36	Karo (Arara)	BATHE	36.J.C 36.A.V 36.H.C 36.M.C 36.U.V 36.J.c	AXBCYN	6 7 1 4 7 6	j a ʔ m o j	jaʔmoj	2.0 1.5 1.75 1.5 1.3 0.8		
24	m o r í j - a	MURIJA	193	1289	micangascontas	BEADS	Karo	0	moríja	morì/ija	36	Karo (Arara)	BEADS	36.M.C 36.U.V 36.R.C 36.I.V 36.J.C 36.A.V	AXBYBZ	4 7 5 7 6 7	m o r í j a	moríja	2.0 1.5 1.75 1.3 1.75 0.8		
25	p e h ɲ e t	PEHNET	187	1264	errarestarerrado	BE WRONG	Karo	0	pehɲet	pehɲet	36	Karo (Arara)	BE.WRONG	36.P.C 36.E.V 36.H.C 36.N.C 36.E.V 36.T.c	AXBCYN	1 7 3 4 7 1	p e h ɲ e t	pehɲet	2.0 1.5 1.75 1.5 1.3 0.8		
26	- - m a - - ʔ - t a	MAHTA	198	1306	feijao	BEANS	Karo	0	maʔta	maʔta	36	Karo (Arara)	BEANS	36.M.C 36.A.V 36.H.c 36.T.C 36.A.V	AXMBZ	4 7 1 1 7	m a ʔ t a	maʔta	2.0 1.5 1.1 1.75 0.8	Cariban loan in Proto-Mawé-Awetí-Tupí-Guaraní	YES
27	i j - o g õ - j - o m -	IJUKUJUM	209	1362	barba	BEARD	Karo	0	ijogõjom	ijogõjom	36	Karo (Arara)	BEARD	36.I.V 36.J.C 36.U.V 36.K.C 36.U.V 36.J.C 36.U.V 36.M.c	XBYBYBYN	7 6 7 1 7 6 7 4	i j o g õ j o m	ijogõjom	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8		
28	- - - - p ã t	PAT	3634	1844	bonito7	BEAUTIFUL	Karo	0	pãt	pãt	36	Karo (Arara)	BEAUTIFUL	36.P.C 36.A.V 36.T.c	AXN	1 7 1	p ã t	pãt	2.0 1.5 0.8		
29	- - w ã - j -	WAJ	216	1452	abelha	BEE	Karo	0	wãj	wãj	36	Karo (Arara)	BEE	36.W.C 36.A.V 36.J.c	AXN	6 7 6	w ã j	wãj	2.0 1.5 0.8		
30	k u n	KYN	3888	2195	umbigo	BELLY	Karo	0	kun	kun	36	Karo (Arara)	BELLY	36.K.C 36.Y.V 36.N.c	AXN	1 7 4	k u n	kun	2.0 1.5 0.8		
31	- o - - - r o k - -	URUK	224	1501	umbigo2	BELLYBUTTON	Karo	0	orok	orok	36	Karo (Arara)	BELLYBUTTON	36.U.V 36.R.C 36.U.V 36.K.c	XBYN	7 5 7 1	o r o k	orok	1.5 1.75 1.3 0.8		
32	i ʔ j a m	IHJAM	4632	3065	banco3	BENCH	Karo	0	iʔjam	iʔjam	36	Karo (Arara)	BENCH	36.I.V 36.H.C 36.J.C 36.A.V 36.M.c	XBCYN	7 1 6 7 4	i ʔ j a m	iʔjam	1.5 1.75 1.5 1.3 0.8		
33	- w e w	WEW	247	1654	grande	BIG	Karo	0	wew	wew	36	Karo (Arara)	BIG	36.W.C 36.E.V 36.W.c	AXN	6 7 6	w e w	wew	2.0 1.5 0.8		
34	- - k - - o r e t -	KURET	249	1721	passaro	BIRD	Karo	0	koret	koret	36	Karo (Arara)	BIRD	36.K.C 36.U.V 36.R.C 36.E.V 36.T.c	AXBYN	1 7 5 7 1	k o r e t	koret	2.0 1.5 1.75 1.3 0.8		
35	- t - - o - -	TU	256	1783	morder1	BITE	Karo	0	to	to	36	Karo (Arara)	BITE	36.T.C 36.U.V	AX	1 7	t o	to	2.0 1.5		
36	- p ĩ k - + - t e m	PIK_TEM	265	1852 1851	preto	BLACK	Karo	0	pĩk-tem	pĩk+tem	36	Karo (Arara)	BLACK ?	36.P.C 36.I.V 36.K.c 36._._ 36.T.C 36.E.V 36.M.c	AXN_AXN	1 7 1 9 1 7 4	p ĩ k + t e m	pĩk-tem	2.0 1.5 0.8 0.0 2.0 1.5 0.8		
37	j u - -	JY	278	1919	sangue	BLOOD	Karo	0	ju	ju	36	Karo (Arara)	BLOOD	36.J.C 36.Y.V	AX	6 7	j u	ju	2.0 1.5		
38	- - - p u p u - -	PYPY	281	1975	soprar1	BLOW	Karo	0	pupu	pupu	36	Karo (Arara)	BLOW	36.P.C 36.Y.V 36.P.C 36.Y.V	AXBZ	1 7 1 7	p u p u	pupu	2.0 1.5 1.75 0.8		
39	- - - k u r u k -	KYRYK	289	2036	azulb	BLUE	Karo	0	kuruk	kuruk	36	Karo (Arara)	BLUE.GREEN	36.K.C 36.Y.V 36.R.C 36.Y.V 36.K.c	AXBYN	1 7 5 7 1	k u r u k	kuruk	2.0 1.5 1.75 1.3 0.8	Also means  'green'	
40	tʃ i g - - ã́	TIKA	303	2089	osso	BONE	Karo	0	tʃigã́	tʃigã́/ã	36	Karo (Arara)	BONE	36.T.C 36.I.V 36.K.C 36.A.V	AXBZ	1 7 1 7	tʃ i g ã́	tʃigã́	2.0 1.5 1.75 0.8		
41	t a g ɨ p -	TAKIP	307	2156	arco6	BOW	Karo	0	tagɨp	tagɨp	36	Karo (Arara)	BOW	36.T.C 36.A.V 36.K.C 36.I.V 36.P.c	AXBYN	1 7 1 7 1	t a g ɨ p	tagɨp	2.0 1.5 1.75 1.3 0.8		
42	n a k õ m - -	NAKUM	314	2226	menino	BOY	Karo	0	nakõm	nakõm	36	Karo (Arara)	BOY	36.N.C 36.A.V 36.K.C 36.U.V 36.M.c	AXBYN	4 7 1 7 4	n a k õ m	nakõm	2.0 1.5 1.75 1.3 0.8		
43	j a n ã	JANA	327	2286	galho1	BRANCH	Karo	0	janã	janã	36	Karo (Arara)	BRANCH	36.J.C 36.A.V 36.N.C 36.A.V	AXBZ	6 7 4 7	j a n ã	janã	2.0 1.5 1.75 0.8		
44	- - - i j ã	IJA	334	2331	castanhadopara1	BRAZIL NUT	Karo	0	ijã	ijã	36	Karo (Arara)	BRAZIL.NUT	36.I.V 36.J.C 36.A.V	XBZ	7 6 7	i j ã	ijã	1.5 1.75 0.8		
45	t ə j	TEJ	347	2382	quebrarromper	BREAK	Karo	0	təj	təj	36	Karo (Arara)	BREAK	36.T.C 36.E.V 36.J.c	AXN	1 7 6	t ə j	təj	2.0 1.5 0.8		
46	n ã m + ʔ a ʔ	NAMHAH	349	2429 1109	seio1	BREAST	Karo	0	nãmʔaʔ	nãmʔaʔ	36	Karo (Arara)	BREAST CLASSIFIER.ROUND	36.N.C 36.A.V 36.M.c 36.H.C 36.A.V 36.H.c	AXMBYN	4 7 4 1 7 1	n ã m + ʔ a ʔ	nãmʔaʔ	2.0 1.5 1.1 1.75 1.3 0.8		
47	- j o g o j - - + w u j	JUKUJ_WYJ	353	2492 2495	respirar	BREATHE	Karo	0	jogoj wuj	jogoj+wuj	36	Karo (Arara)	BREATHE ?	36.J.C 36.U.V 36.K.C 36.U.V 36.J.c 36._._ 36.W.C 36.Y.V 36.J.c	AXBYN_AXN	6 7 1 7 6 9 6 7 6	j o g o j + w u j	jogoj wuj	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8		
48	- - - ʔ í g u p -	HIKYP	4282	2567	irmao	BROTHER	Karo	0	ʔígup	ʔí/igup	36	Karo (Arara)	BROTHER	36.H.C 36.I.V 36.K.C 36.Y.V 36.P.c	AXBYN	1 7 1 7 1	ʔ í g u p	ʔígup	2.0 1.5 1.75 1.3 0.8		
49	tʃ iː t -	TIT	374	2693	queimar4	BURN (intr)	Karo	0	tʃiit	tʃiːt	36	Karo (Arara)	BURN	36.T.C 36.I.V 36.T.c	AXN	1 7 1	tʃ iː t	tʃiit	2.0 1.5 0.8		
50	t ɨ n -	TIN	374	2693	queimar	BURN (tr)	Karo	0	tɨn	tɨn	36	Karo (Arara)	BURN	36.T.C 36.I.V 36.N.c	AXN	1 7 4	t ɨ n	tɨn / pəgat	2.0 1.5 0.8		
51	p ə g - - a t -	PEKAT	267	2690	queimar	BURN (tr)	Karo	0	pəgat	pəgat	36	Karo (Arara)	BURN	36.P.C 36.E.V 36.K.C 36.A.V 36.T.c	AXBYN	1 7 1 7 1	p ə g a t	tɨn / pəgat	2.0 1.5 1.75 1.3 0.8		
52	- - t - - - - ã n -	TAN	4096	997	enterrar	BURY	Karo	0	tãn	tãn	36	Karo (Arara)	BURY	36.T.C 36.A.V 36.N.c	AXN	1 7 4	t ã n	tãn	2.0 1.5 0.8		
53	- tʃ ía - -	SI	393	2913	nadegas	BUTTOCKS	Karo	0	tʃía	ʃía/ia	36	Karo (Arara)	BUTTOCKS	36.S.C 36.I.V	AX	3 7	tʃ ía	tʃía	2.0 1.5		
54	n a tʃ e j -	NASEJ	2038	14672	roca	SLASH	Karo	0	natʃej	naʃej	36	Karo (Arara)	SLASH	36.N.C 36.A.V 36.S.C 36.E.V 36.J.c	AXBYN	4 7 3 7 6	n a tʃ e j	natʃej	2.0 1.5 1.75 1.3 0.8		
55	k ɨ r ɨ + w e p -	KIRIWEP	386	1156 1154	borboleta7	BUTTERFLY	Karo	0	kɨrɨwep	kɨrɨwep	36	Karo (Arara)	BUTTERFLY WING	36.K.C 36.I.V 36.R.C 36.I.V 36.W.C 36.E.V 36.P.c	AXBYBYN	1 7 5 7 6 7 1	k ɨ r ɨ + w e p	kɨrɨwep	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
56	m a ʔ - p e + ʔ ɨ b	KARU	398	2937 1166	cabacacuia	CALABASH / GOURD	Karo	0	maʔpe ʔɨb	karo	36	Karo (Arara)	CALABASH ?	36.K.C 36.A.V 36.R.C 36.U.V	AXBZ	1 7 5 7	m a ʔ p e + ʔ ɨ b	maʔpe ʔɨb	2.0 1.5 1.75 0.8		
57	k a n ó a	KANUA	408	3005	canoa	CANOE	Karo	0	kanóa	kanó/oa	36	Karo (Arara)	CANOE	36.K.C 36.A.V 36.N.C 36.U.V 36.A.V	AXBYZ	1 7 4 7 7	k a n ó a	kanóa	2.0 1.5 1.75 1.3 0.8		
58	n a ʔ w ə j	NAHWEJ	417	3071	macacoprego6	CAPUCHIN MONKEY	Karo	0	naʔwəj	naʔwəj	36	Karo (Arara)	CAPUCHIN	36.N.C 36.A.V 36.H.C 36.W.C 36.E.V 36.J.c	AXBCYN	4 7 1 6 7 6	n a ʔ w ə j	naʔwəj	2.0 1.5 1.75 1.5 1.3 0.8		
59	m ã r o	MARU	421	1247	capivara	CAPYBARA	Karo	0	mãro	mãro	36	Karo (Arara)	CAPYBARA	36.M.C 36.A.V 36.R.C 36.U.V	AXBZ	4 7 5 7	m ã r o	mãro	2.0 1.5 1.75 0.8		
60	m a r a ʔ ã	MARAHA	2823	536	inhame	CARÁ ROOT / YAM	Karo	0	maraʔã	maraʔã	36	Karo (Arara)	CARÁ	36.M.C 36.A.V 36.R.C 36.A.V 36.H.C 36.A.V	AXBYBZ	4 7 5 7 1 7	m a r a ʔ ã	maraʔã	2.0 1.5 1.75 1.3 1.75 0.8		
61	i ʔ j a t + tʃ u	IHJAT_SY	447	3248 1649	chefecacique	CHIEF / MASTER / OWNER	Karo	0	iʔjat tʃu	iʔjat+ʃu	36	Karo (Arara)	CHIEF BIG	36.I.V 36.H.C 36.J.C 36.A.V 36.T.c 36._._ 36.S.C 36.Y.V	XBCYN_AX	7 1 6 7 1 9 3 7	i ʔ j a t + tʃ u	iʔjat tʃu	1.5 1.75 1.5 1.3 0.8 0.0 2.0 1.5		
62	ts o n	CUN	436	3193	caju	CASHEW	Karo	0	tson	tson	36	Karo (Arara)	CASHEW	36.C.C 36.U.V 36.N.c	AXN	2 7 4	ts o n	tson	2.0 1.5 0.8		
63	- o w e -	UWE	458	3284	crianca	CHILD	Karo	0	owe	owe	36	Karo (Arara)	CHILD	36.U.V 36.W.C 36.E.V	XBZ	7 6 7	o w e	owe/nakõm	1.5 1.75 0.8		
64	n a k õ m - -	NAKUM	3687	1909	crianca	CHILD	Karo	1	nakõm	nakõm	36	Karo (Arara)	CHILD	36.N.C 36.A.V 36.K.C 36.U.V 36.M.c	AXBYN	4 7 1 7 4	n a k õ m	owe/nakõm	2.0 1.5 1.75 1.3 0.8		
65	- a - g a r a j õ -	AKARAJU	3454	1592	cigarra	CICADA	Karo	0	agarajõ	agarajõ	36	Karo (Arara)	CICADA	36.A.V 36.K.C 36.A.V 36.R.C 36.A.V 36.J.C 36.U.V	XBYBYBZ	7 1 7 5 7 6 7	a g a r a j õ	agarajõ	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
66	- i ts i j õ	ICIJU	470	3362	garra	NAIL / CLAW	Karo	0	itsijõ	itsijõ	36	Karo (Arara)	CLAW	36.I.V 36.C.C 36.I.V 36.J.C 36.U.V	XBYBZ	7 2 7 6 7	i ts i j õ	itsijõ	1.5 1.75 1.3 1.75 0.8		
67	tʃ a r o g + - - ĩ n -	TARUKIN	487	952 3417	nuvem	CLOUD	Karo	0	tʃarogĩn	tʃarogĩn	36	Karo (Arara)	CLOUD WHITE	36.T.C 36.A.V 36.R.C 36.U.V 36.K.C 36.I.V 36.N.c	AXBYBYN	1 7 5 7 1 7 4	tʃ a r o g + ĩ n	tʃarogĩn	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
68	i ʔ ts o g o	IHCUKU	502	3495	quati	COATI	Karo	0	iʔtsogo	iʔtsogo	36	Karo (Arara)	COATI	36.I.V 36.H.C 36.C.C 36.U.V 36.K.C 36.U.V	XBCYBZ	7 1 2 7 1 7	i ʔ ts o g o	iʔtsogo	1.5 1.75 1.5 1.3 1.75 0.8		
69	ts a p e k a t a - r o -	CAPEKATARU	4466	1730	barata	COCKROACH	Karo	0	tsapekataro	tsapekataro	36	Karo (Arara)	COCKROACH	36.C.C 36.A.V 36.P.C 36.E.V 36.K.C 36.A.V 36.T.C 36.A.V 36.R.C 36.U.V	AXBYBYBYBZ	2 7 1 7 1 7 1 7 5 7	ts a p e k a t a r o	tsapekataro	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8		
70	- a g a j - a - - - -	AKAJA	3182	1202	cacau	COCOA	Karo	0	agaja	agaja	36	Karo (Arara)	COCOA	36.A.V 36.K.C 36.A.V 36.J.C 36.A.V	XBYBZ	7 1 7 6 7	a g a j a	agaja	1.5 1.75 1.3 1.75 0.8		
71	- - p i t ẽ - - k - - -	PITEK	520	3615	frio4	COLD	Karo	0	pitẽk	pitẽk	36	Karo (Arara)	COLD	36.P.C 36.I.V 36.T.C 36.E.V 36.K.c	AXBYN	1 7 1 7 1	p i t ẽ k	pitẽk	2.0 1.5 1.75 1.3 0.8		
72	- - t i -	TI	542	3744	vir3	COME	Karo	0	ti	ti	36	Karo (Arara)	COME	36.T.C 36.I.V	AX	1 7	t i	ti	2.0 1.5		
73	- - n ã p -	NAP	529	2180	pente	COMB	Karo	0	nãp	nãp	36	Karo (Arara)	COMB	36.N.C 36.A.V 36.P.c	AXN	4 7 1	n ã p	nãp	2.0 1.5 0.8		
74	n ã j a -	NAJA	556	3811	milho7	CORN / MAIZE	Karo	0	nãja	nãja	36	Karo (Arara)	CORN	36.N.C 36.A.V 36.J.C 36.A.V	AXBZ	4 7 6 7	n ã j a	nãja	2.0 1.5 1.75 0.8		
75	- m o k - -	MUK	562	1420	algodao8	COTTON	Karo	0	mok	mok	36	Karo (Arara)	COTTON	36.M.C 36.U.V 36.K.c	AXN	4 7 1	m o k	mok	2.0 1.5 0.8		
76	k o j a - - - - -	KUJA	567	1253	carangueijo	CRAB	Karo	0	koja	koja	36	Karo (Arara)	CRAB	36.K.C 36.U.V 36.J.C 36.A.V	AXBZ	1 7 6 7	k o j a	koja	2.0 1.5 1.75 0.8		
77	k ɨ r ɨ ʔ + k ã j	KIRIHKAJ	3460	1598 1608	grilo	CRICKET (zool)	Karo	0	kɨrɨʔkãj	kɨrɨʔkãj	36	Karo (Arara)	CRICKET ?	36.K.C 36.I.V 36.R.C 36.I.V 36.H.c 36.K.C 36.A.V 36.J.c	AXBYMBYN	1 7 5 7 1 1 7 6	k ɨ r ɨ ʔ + k ã j	kɨrɨʔkãj	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8		
78	w e - -	WE	579	4034	chorar	CRY	Karo	0	we	we	36	Karo (Arara)	CRY	36.W.C 36.E.V	AX	6 7	w e	we	2.0 1.5		
79	ts ɨ ts ɨ	INAW	1023	10795	mutum	GNAT / PIUM	Karo	0	tsɨtsɨ	inãw	36	Karo (Arara)	GNAT	36.I.V 36.N.C 36.A.V 36.W.c	XBYN	7 4 7 6	ts ɨ ts ɨ	tsɨtsɨ	1.5 1.75 1.3 0.8		
80	p i ʔ tʃ ã p	PIHSAP	587	4097	cortar	CUT	Karo	0	piʔtʃãp	piʔʃãp	36	Karo (Arara)	CUT	36.P.C 36.I.V 36.H.C 36.S.C 36.A.V 36.P.c	AXBCYN	1 7 1 3 7 1	p i ʔ tʃ ã p	piʔtʃãp	2.0 1.5 1.75 1.5 1.3 0.8		
81	p e n ao p	PENAP	3574	1762	dancar	DANCE	Karo	0	penaop	penaop	36	Karo (Arara)	DANCE	36.P.C 36.E.V 36.N.C 36.A.V 36.P.c	AXBYN	1 7 4 7 1	p e n ao p	penaop	2.0 1.5 1.75 1.3 0.8		
82	- a t	AT	613	4348	dia1	DAY	Karo	0	at	at	36	Karo (Arara)	DAY	36.A.V 36.T.c	XN	7 1	a t	at	1.5 0.8		
83	- - i t ɨ -	ITI	622	4402	veado4	DEER	Karo	0	itɨ	itɨ	36	Karo (Arara)	DEER	36.I.V 36.T.C 36.I.V	XBZ	7 1 7	i t ɨ	itɨ	1.5 1.75 0.8		
84	o r a w a	URAWA	632	4471	defecar5	DEFECATE	Karo	0	orawa	orawa	36	Karo (Arara)	DEFECATE	36.U.V 36.R.C 36.A.V 36.W.C 36.A.V	XBYBZ	7 5 7 6 7	o r a w a	orawa	1.5 1.75 1.3 1.75 0.8		
85	- p a j - -	PAJ	637	4509	morrer4	DIE	Karo	0	paj	paj	36	Karo (Arara)	DIE	36.P.C 36.A.V 36.J.c	AXN	1 7 6	p a j	paj	2.0 1.5 0.8		
86	- o n -	UN	648	4580	cavar	DIG	Karo	0	on	on	36	Karo (Arara)	DIG	36.U.V 36.N.c	XN	7 4	o n	on	1.5 0.8		
87	ŋ ã	NA	667	4626	sujo	DIRTY	Karo	0	ŋã	ŋã	36	Karo (Arara)	DIRTY	36.N.C 36.A.V	AX	4 7	ŋ ã	ŋã	2.0 1.5		
88	p e - -	PE	669	4669	fazer	DO / MAKE	Karo	0	pe	pe	36	Karo (Arara)	DO	36.P.C 36.E.V	AX	1 7	p e	pe	2.0 1.5		
89	- - - w a - - wː a w - -	WAWAW	676	4730	cachorrocao6	DOG	Karo	0	wawwaw	wawːaw	36	Karo (Arara)	JAGUAR	36.W.C 36.A.V 36.W.C 36.A.V 36.W.c	AXBYN	6 7 6 7 6	w a wː a w	wawwaw	2.0 1.5 1.75 1.3 0.8		
90	j a ʔ m ì	JAHMI	4124	2487	porta	DOOR	Karo	0	jaʔmì	jaʔmì/i	36	Karo (Arara)	DOOR	36.J.C 36.A.V 36.H.C 36.M.C 36.I.V	AXBCZ	6 7 1 4 7	j a ʔ m ì	jaʔmì	2.0 1.5 1.75 1.5 0.8		
91	- ʔ o t -	HUT	699	4886	beber1	DRINK (v)	Karo	0	ʔot	ʔot	36	Karo (Arara)	INGEST	36.H.C 36.U.V 36.T.c	AXN	1 7 1	ʔ o t	ʔot	2.0 1.5 0.8		
92	a ʔ ts a r a ŋ n ã n	AHCARANNAN	713	4957	secar	DRY	Karo	0	aʔtsaraŋnãn	aʔtsaraŋnãn	36	Karo (Arara)	DRY	36.A.V 36.H.C 36.C.C 36.A.V 36.R.C 36.A.V 36.N.c 36.N.C 36.A.V 36.N.c	XBCYBYMBYN	7 1 2 7 5 7 4 4 7 4	a ʔ ts a r a ŋ n ã n	aʔtsaraŋnãn	1.5 1.75 1.5 1.3 1.75 1.3 1.1 1.75 1.3 0.8		
