ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	BORROWING	NOTE
11244	Teko	ABOVE	ʔar / wate kɨti	wate kɨti	w a t e + k ɨ t i	- w a - t e + k ɨ t i	2	2 27	HIGH DIRECTIVE		
11614	Wayampi	ABOVE	alɨwo / wate	alɨwo	a l ɨ + w o	- a l ɨ + w o - -	1	3 17	ABOVE THERE		
11615	Wayampi	ABOVE	alɨwo / wate	wate	w a t e	w a t e	2	2	HIGH		
12019	Zo'e	ABOVE	ʔat / wate	ʔat	ʔ a t	ʔ a t - - - - - -	1	3	ABOVE		
12020	Zo'e	ABOVE	ʔat / wate	wate	w a t e	w a t e	2	2	HIGH		
12260	Ka'apor	ABOVE	ʔar	ʔar	ʔ a ɾ	ʔ a ɾ - - - - - -	1	3	ABOVE		
12577	Anambe	ABOVE	aha / amũ	aha	a h a	a h a	3	4	ABOVE		
12578	Anambe	ABOVE	aha / amũ	amũ	a + m ũ	- a - - + m ũ - -	1	3 17	ABOVE THERE		
12796	Turiwara	ABOVE	ɨwaterɨ	ɨwaterɨ	ɨ w a t e + r ɨ	ɨ w a t e + r ɨ	2	2 874	HIGH ?		
12852	Kamajura	ABOVE	ʔarim	ʔarim	ʔ a ɾ i + m	ʔ a ɾ i + m - - -	1	3 17	ABOVE THERE		
13129	Asuriní Xingu	ABOVE	árimo	árimo	a ɾ i + m o	- a ɾ i + m o - -	1	3 17	ABOVE THERE		
13394	Ava Canoeiro	ABOVE	ɨwati	ɨwati	ɨ w a t i	ɨ w a t i	2	2	HIGH		
13609	Tupinambá	ABOVE	ʔaɾi	ʔaɾi	ʔ a ɾ i	ʔ a ɾ i - - - - -	1	3	ABOVE		
14016	Nheengatu	ABOVE	apira	apira	a p i ɾ a	a p i ɾ a	537	33	ABOVE		
14357	Tupí Austral	ABOVE	ara / ibati	ara	a ɾ a	- a ɾ a - - - - -	1	3	ABOVE		
14358	Tupí Austral	ABOVE	ara / ibati	ibati	i b a + t i	i b a + t i - - - - -	2	2	LOW DIFFERENT		
14632	Yuki	ABOVE	ibáte	ibáte	i b a t e	i b a t e	2	2	HIGH		
14875	Guarayo Hoeller	ABOVE	aramo / arɨve	aramo	a ɾ a + m o	- a ɾ a + m o - -	1	3 17	ABOVE THERE		
14876	Guarayo Hoeller	ABOVE	aramo / arɨve	arɨve	a ɾ ɨ + v e	- a ɾ ɨ + v e - -	1	3 17	ABOVE ?		
15182	Siriono	ABOVE	ibate	ibate	i b a t e	i b a t e	2	2	HIGH		
15511	Warazu	ABOVE	iwate	iwate	i w a t e	i w a t e	2	2	HIGH		
16131	Mbya	ABOVE	arõ / arɨ	arõ	a ɾ õ	- a ɾ õ - - - - -	1	3	ABOVE		
16132	Mbya	ABOVE	arõ / arɨ	arɨ	a ɾ ɨ	- a ɾ ɨ - - - - -	1	3	ABOVE		
16491	Guaraní	ABOVE	ʔári	ʔári	ʔ a ɾ i	ʔ a ɾ i - - - - -	1	3	ABOVE		
16824	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osepe	ɨβate	ɨ β a t e	ɨ β a t e	2	2	HIGH		
17630	Kaiowa	ABOVE	ári	ári	a ɾ i	- a ɾ i - - - - -	1	3	ABOVE		
17846	Tapiete	ABOVE	wate	wate	w a t e	w a t e	2	2	HIGH		
18180	Ñandeva	ABOVE	ʔarɨ	ʔarɨ	ʔ a ɾ ɨ	ʔ a ɾ ɨ - - - - -	1	3	ABOVE		
18361	Omagua	ABOVE	ɨwati	ɨwati	ɨ w a t i	ɨ w a t i	2	2	HIGH		
18641	Kokama	ABOVE	arɨwa	arɨwa	a ɾ ɨ + w a	- a ɾ ɨ + w a - -	1	3 17	ABOVE ?		
19074	Nheengatu	ABOVE	ararupi	ararupi	a ɾ a + ɾ u p i	- a ɾ a + ɾ u p i	1	3 35	ABOVE POSTPOSITION		
19480	Ache	ABOVE	jabu	jabu	j a + b u	j a + b u	2008	278 281	DEMONSTRATIVE CONDITIONAL		
20388	Mawe	ABOVE	tote / upi	upi	u p i	- - - - - - u p i	1	35	ABOVE		
20449	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osep	ʔar	ʔ a ɾ	ʔ a ɾ - - - - - -	1	3	ABOVE		
20479	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osep	osé	o s e	o s e	2822	533	ABOVE		
20482	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osep	osepe	o s e + p e	o s e + p e	2822	533 534	ABOVE ?		
21741	Zoro	ABOVE	tara	tara	t a ɾ a	t a ɾ a - - - - -	1	3	ABOVE		
22351	Tupari	ABOVE	otere	otere	!o/Ø t e !r/t e	!o/Ø t e !r/t e	2745	979	ABOVE		
23539	Açuã Tupi	ABOVE	batɛ	batɛ	b a t ɛ	b a t ɛ	2	2	HIGH		
24042	LGA XVIII	ABOVE	ibaté	ibaté	i b a t e	i b a t e	2	2	HIGH		
28156	Chiriguano	ABOVE	apɨte / aramo / ɨwate	apɨte	a p ɨ + t e	a p ɨ + t e	6392	5051 7	LOW TOPIC		
28162	Chiriguano	ABOVE	apɨte / aramo / ɨwate	aramo	a ɾ a m o	- a ɾ a - m o - -	1	3	ABOVE		
28163	Chiriguano	ABOVE	apɨte / aramo / ɨwate	ɨwate	ɨ ʋ a t e	ɨ ʋ a t e	2	2	HIGH		
15	Karo	ACAI PALM	ɨukap	ɨukap	ɨ u k a p	ɨ u k a p	104	2600	AÇAÍ		
379	Purubora	ACAI PALM	maʃimbá	maʃimbá	m a ʃ i m/b a	- - m a ʃ i - m/b a	600	37	AÇAÍ		
823	Makurap	ACAI PALM	βiritʃa	βiritʃa	↓β/w i ɾ i + tʃ a	↓β/w i ɾ i + tʃ a	120	805	AÇAÍ ?		
1171	Wayoro	ACAI PALM	ŋgʷiri	ŋgʷiri	ŋ w i r i	ŋ w i r i	120	805	AÇAÍ		
1492	Tupari	ACAI PALM	witʔi	witʔi	w i t ʔ i	w i t ʔ i	120	805	AÇAÍ		
1885	Akuntsu	ACAI PALM	kʷiɾi	kʷiɾi	↓kʷ/w i ɾ i	↓kʷ/w i ɾ - i - -	120	805	AÇAÍ		
2263	Mekens	ACAI PALM	kʷiɾi	kʷiɾi	↓kʷ/w i ɾ i	↓kʷ/w i ɾ - i - -	120	805	AÇAÍ		
2726	Gavião	ACAI PALM	biipkáp	biipkáp	b ii p + k á p	b ii p + k á p	122	808 2603	AÇAÍ SMALL.ROUND		
3129	Monde	ACAI PALM	bitʃet	bitʃet	b i + tʃ e t	b i - + tʃ e t	122	808 3605	AÇAÍ ?		
3400	Arua	ACAI PALM	biipkap	biipkap	b ii p + k a p	b ii p + k a p	122	808 2603	AÇAÍ SMALL.ROUND		
3723	Zoro	ACAI PALM	biipkɨɨp	biipkɨɨp	b ii p + k ɨɨ p	b ii p + k ɨɨ p	122	808 2603	AÇAÍ SMALL.ROUND		
4239	Karitiana	ACAI PALM	iri	iri	i ɾ i	- i ɾ - i - -	120	805	AÇAÍ		
4507	Arikem	ACAI PALM	irí	irí	i ɾ í	- i ɾ - í - -	120	805	AÇAÍ		
4703	Xipaya	ACAI PALM	manakura	manakura	m a n a + k u r a	m a n a + k u r a	84	182 183	AÇAÍ ?		
5036	Juruna	ACAI PALM	manakúrá	manakúrá	m a n a + k ú ɾ á	m a n a + k ú ɾ á	84	182 183	AÇAÍ ?		
5367	Mundurukú	ACAI PALM	wapərə̃m / asai	wapərə̃m	w a p ə ɾ ə̃ m	w a p ə ɾ ə̃ m	627	184	AÇAÍ		
5368	Mundurukú	ACAI PALM	wapərə̃m / asai	asai	a s a + i	- a s a - + i - -	121	807 18593	AÇAÍ LIQUID		
5750	Kuruaya	ACAI PALM	áporĩm	áporĩm	a p o ɾ ĩ m	- a p o ɾ ĩ m	627	184	AÇAÍ		
6051	Mawe	ACAI PALM	wasaʔi	wasaʔi	w a s a + ʔ i	w a s a - + ʔ - i	121	807 18593	AÇAÍ LIQUID		
6718	Parakana	ACAI PALM	ʃoʃɨar	ʃoʃɨar	ʃ o ʃ ɨa r	ʃ o ʃ ɨa r -	101	675	AÇAÍ		
7071	Asuriní Tocantins	ACAI PALM	tsotsɨari	tsotsɨari	ts o ts ɨa ɾ i	ts o ts ɨa ɾ i	101	671	AÇAÍ		
7306	Surui-Aikewara	ACAI PALM	pinuwa	pinuwa	p i n u w a	p i n u w a - - - -	123	810	AÇAÍ		
8244	Guajajara	ACAI PALM	waʃaʔi	waʃaʔi	w a ʃ a + ʔ i	w a ʃ a - + ʔ - i	121	807 18593	AÇAÍ LIQUID		
8829	Parintintin	ACAI PALM	pinoβiʔɨp	pinoβiʔɨp	p i n o β i ʔ + ɨ p	p i n o β i ʔ + ɨ p	123	810 254	? FRUIT		
9193	Amondawa	ACAI PALM	dʒɨdʒɨw	dʒɨdʒɨw	dʒ ɨ dʒ ɨ w	dʒ ɨ dʒ ɨ w -	124	806	AÇAÍ		
10546	Araweté	ACAI PALM	atʃaʔɨ	atʃaʔɨ	a tʃ a + ʔ ɨ	- a tʃ a - + ʔ - ɨ	121	807 18593	AÇAÍ LIQUID		
11261	Teko	ACAI PALM	wasei	wasei	w a s e + i	w a s e - + i - -	121	807 18593	AÇAÍ LIQUID		
11632	Wayampi	ACAI PALM	waseí	waseí	w a s e + í	w a s e - + í - -	121	807 18593	AÇAÍ LIQUID		
12277	Ka'apor	ACAI PALM	wasai	wasai	w a s a + i	w a s a + i	121	807 18593	AÇAÍ LIQUID		
14029	Nheengatu	ACAI PALM	wasaiiwa	wasaiiwa	w a s a i + i w a	w a s a i + i w a	121	807 6941	AÇAÍ FRUIT		
16147	Mbya	ACAI PALM	araʃi	araʃi	a ɾ a ʃ i	- a ɾ a ʃ - i - -	121	807	AÇAÍ		
16505	Guaraní	ACAI PALM	jasaiʔɨ	jasaiʔɨ	j a s ai + ʔ ɨ	j a s ai - + ʔ - ɨ	121	807 18593	AÇAÍ LIQUID		
19584	Guajá	ACAI PALM	jahará	jahará	j a h a ɾ a	j a h a ɾ - a - -	121	807	AÇAÍ		
20337	Kampe	ACAI PALM	kʷiri	kʷiri	↓kʷ/w i ɾ i	↓kʷ/w i ɾ - i - -	120	805	AÇAÍ		
20542	Asuriní Xingu	ACAI PALM	nidzoara	nidzoara	n i dz oa ɾ a	n i dz oa ɾ a	101	671	AÇAÍ		
21345	Warazu	ACAI PALM	dʒudʒiva	dʒudʒiva	dʒ u dʒ i v a	dʒ u dʒ i v a	124	806	AÇAÍ		Apparently a lowan from a Kagwahiv language
21609	Apiaka	ACAI PALM	iwa / suwaʔi	iwa	i w a	- i w a - - - - - -	123	810	AÇAÍ		
21610	Apiaka	ACAI PALM	iwa / suwaʔi	suwaʔi	s u w a + ʔ i	s u w a + - ʔ - i -	123	810 18593	AÇAÍ LIQUID		
21619	Cinta-Larga	ACAI PALM	mbíípkap	mbíípkap	m/b íí p + k a p	m/b íí p + k a p	122	808 2603	AÇAÍ SMALL.ROUND		
22491	Surui-Paiter	ACAI PALM	bibaa	bibaa	b iː b + aa	b iː b + - aa -	122	808 3594	AÇAÍ ?		
22675	Zo'e	ACAI PALM	sehi	sehi	s e h + i	s e h + i	121	807 18593	AÇAÍ LIQUID		
23654	Açuã Tupi	ACAI PALM	dʒudibɛ	dʒudibɛ	dʒ u d i b ɛ	dʒ u d i b ɛ	124	806	AÇAÍ		
26493	Tembe	ACAI PALM	uasaʔi	uasaʔi	ua s a + ʔ i	- ua s a - + ʔ - i	121	807 18593	AÇAÍ LIQUID		
7	Karo	ACHIOTE	koko	koko	k o k o	k o - - k o - -	62	342	ANATTO		
712	Ramarama	ACHIOTE	kokó	kokó	k o k ó	k o - - k ó - -	62	342	ANATTO		
814	Makurap	ACHIOTE	iko	iko	!i/e k o	!i/e - - k o	60	343	ANATTO		
1164	Wayoro	ACHIOTE	ŋgopŋgap	ŋgopŋgap	!ng/k !o/ɨ p !ng/k a p	!ng/k !o/ɨ p !ng/k a p	62	342	ANATTO		
1484	Tupari	ACHIOTE	tope	tope	t o p e	t o p e - - - -	3447	1579	ANATTO		
1875	Akuntsu	ACHIOTE	kɨpkap	kɨpkap	k ɨ p k a p	k ɨ p - k a p -	62	342	ANATTO		
2256	Mekens	ACHIOTE	kobakaap	kobakaap	k !o/ɨ !b/p !a/Ø k aː p	k !o/ɨ !b/p !a/Ø k aː p -	62	342	ANATTO		
2561	Cinta-Larga	ACHIOTE	nduap	nduap	n/d u + a p	n/d u + a p	61	344 1109	ANATTO CLASSIFIER.ROUND		
2716	Gavião	ACHIOTE	dóʔà / dookáàp	dóʔà	d ó + ʔ à	d ó - - - - - + ʔ à	61	344 1109	ANATTO CLASSIFIER.ROUND		
2717	Gavião	ACHIOTE	dóʔà / dookáàp	dookáàp	d oː + k áà p	d oː - - - - - + k áà p	61	344 14009	ANATTO SEED		
3122	Monde	ACHIOTE	doʔu	doʔu	d o + ʔ u	d o + ʔ u	61	344 3606	ANATTO ?		
3394	Arua	ACHIOTE	doʔa	doʔa	d o + ʔ a	d o - - - - - + ʔ a	61	344 1109	ANATTO CLASSIFIER.ROUND		
3719	Zoro	ACHIOTE	dookaap	dookaap	d oː + k aː p	d oː - - - - - + k aː p	61	344 14009	ANATTO SEED		
3896	Surui-Paiter	ACHIOTE	nooa	nooa	n oː + a	n oː + a	61	344 1109	ANATTO CLASSIFIER.ROUND		
4231	Karitiana	ACHIOTE	ekɨ	ekɨ	e k ɨ	e - - k ɨ	60	343	ANATTO		
4499	Arikem	ACHIOTE	eku	eku	e k u	e - - k u	60	343	ANATTO		
4694	Xipaya	ACHIOTE	makapa	makapa	m a k a p a	m a - - k a p a	874	1578	ANATTO		
5027	Juruna	ACHIOTE	wãkaha	wãkaha	w ã k a h a	w ã - - k a h a	874	1578	ANATTO		
5358	Mundurukú	ACHIOTE	tʃoko / sura	tʃoko	tʃ o k o	tʃ o - - k o -	61	344	ANATTO		
5742	Kuruaya	ACHIOTE	tʃoko	tʃoko	tʃ o k o	tʃ o - - k o -	61	344	ANATTO		
6042	Mawe	ACHIOTE	waʔakap	waʔakap	w a ʔ a k a p	w a ʔ a k a p -	874	1578	ANATTO		
6414	Awetí	ACHIOTE	jukʷaŋɨt	jukʷaŋɨt	j u kʷ a ŋ ɨ t	j u kʷ a ŋ ɨ t	63	345	ANATTO		
6711	Parakana	ACHIOTE	roko	roko	r o k o	- r o k o	60	343	ANATTO		
7634	Tapirapé	ACHIOTE	oroko	oroko	o r o k o	o r o k o	60	343	ANATTO		
7905	Tembe	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
8236	Guajajara	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
8821	Parintintin	ACHIOTE	uruku	uruku	u ɾ u k u	u ɾ u k u	60	343	ANATTO		
9186	Amondawa	ACHIOTE	uruku / ɨruku	uruku	u ɾ u k u	u r u k u	60	343	ANATTO		
9490	Tenharim	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
9953	Urueuwauwau	ACHIOTE	uruku	uruku	u ɾ u k u	u ɾ u k u	60	343	ANATTO		
10302	Kayabi	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
10537	Araweté	ACHIOTE	irikũ	irikũ	i r i k ũ	i r i k ũ	60	343	ANATTO		
11252	Teko	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
11623	Wayampi	ACHIOTE	uluku	uluku	u l u k u	u l u k u	60	343	ANATTO		
12268	Ka'apor	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
12857	Kamajura	ACHIOTE	ɨrɨku	ɨrɨku	ɨ r ɨ k u	ɨ r ɨ k u	60	343	ANATTO		
13617	Tupinambá	ACHIOTE	uɾukũ	uɾukũ	u ɾ u k ũ	u ɾ u k ũ	60	343	ANATTO		
14022	Nheengatu	ACHIOTE	urukũ	urukũ	u ɾ u k ũ	u ɾ u k ũ	60	343	ANATTO		
14360	Tupí Austral	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
16497	Guaraní	ACHIOTE	uruku	uruku	u ɾ u k u	u ɾ u k u	60	343	ANATTO		
16830	Old Guaraní	ACHIOTE	uruku	uruku	u ɾ u k u	u ɾ u k u	60	343	ANATTO		
18305	Apapokuva	ACHIOTE	uruku / ɨruku	ɨruku	ɨ r u k u	ɨ r u k u	60	343	ANATTO		
18366	Omagua	ACHIOTE	atʃoté	atʃoté	a tʃ o t é	- a tʃ o t é - -	3127	1116	ANATTO		
18910	Tapiete	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
19313	Mundurukú	ACHIOTE	tʃoko / sura	sura	s u r a	s u r a	1654	223	ANATTO		
19579	Omagua	ACHIOTE	ruku	ruku	r u k u	- r u k u	60	343	ANATTO		
19632	Kokama	ACHIOTE	ruku	ruku	r u k u	- r u k u	60	343	ANATTO		
20238	Purubora	ACHIOTE	kijo	kijo	k i j o	k i j o	2800	474	ANATTO		
20306	Kampe	ACHIOTE	kɨbakap	kɨbakap	k ɨ !b/p !a/Ø k a p	k ɨ !b/p !a/Ø k a p -	62	342	ANATTO		
20537	Asuriní Xingu	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
20818	Zo'e	ACHIOTE	(u)ruku	(u)ruku	r u k u	- r u k u	60	343	ANATTO		
20923	Siriono	ACHIOTE	urúku	urúku	u r ú k u	u r ú k u	60	343	ANATTO		
21297	Uruku	ACHIOTE	kokó	kokó	k o k ó	k o - - k ó - -	62	342	ANATTO		
21343	Warazu	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
21607	Apiaka	ACHIOTE	urukú	urukú	u r u k ú	u r u k ú	60	343	ANATTO		
21871	Kepkiriwat	ACHIOTE	eko	eko	e k o	e - - k o	60	343	ANATTO		
22021	Piripkura	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
22157	Urumi	ACHIOTE	kokoja	kokoja	k o k o j a	k o - - k o j a	62	342	ANATTO		
22556	Ava Canoeiro	ACHIOTE	uʁuku	uʁuku	ʊ ʁ uː q ʊ	ʊ ʁ uː q ʊ	60	343	ANATTO		
23690	Açuã Tupi	ACHIOTE	uruku	uruku	u ɾ u k u	u ɾ u k u	60	343	ANATTO		
26961	Chiriguano	ACHIOTE	uruku	uruku	u r u k u	u r u k u	60	343	ANATTO		
28716	Guarayo Hoeller	ACHIOTE	urukurã	urukurã	u r u k u r ã	u r u k u r ã	60	343	ANATTO		
2	Karo	AFTER	kanə̃j̃	kanə̃j̃	k a n ə̃ j̃	k a n ə̃ j̃	18	72	AFTER		
1160	Wayoro	AFTER	karemõ	karemõ	k a r e m õ	- - - k a r e m õ	3983	2329	AFTER		
1480	Tupari	AFTER	pe	pe	p e	p - e - - - -	8	885	AFTER		
1870	Akuntsu	AFTER	eɾape	eɾape	e r a + p ɛ	e r a + p - ɛ	8	14724 885	SLEEP LOCATIVE		
2251	Mekens	AFTER	kikitu	kikitu	k i k i t u	k i k i t u -	3980	1575	AFTER		
2708	Gavião	AFTER	pí / abi	pí	p í	- - p - í - -	12	70	AFTER		
2709	Gavião	AFTER	pí / abi	abi	a b i	- a b - i - -	12	70	AFTER		
4225	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	amɨk	a m ɨ k	a m ɨ k	4183	2551	AFTER		
4226	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mãsog	m ã s o g	m ã - - s o g	16	76	AFTER		
4227	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mõrasõg	m õ ɾ a s õ g	m õ ɾ a s õ g	16	76	AFTER		
4228	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mɨɨ	m ɨː	- m ɨː -	4183	2551	AFTER		
4689	Xipaya	AFTER	táde	táde	t á d e	t á d e - -	11	71	AFTER		
5019	Juruna	AFTER	táde / duháhé / tʃihé	táde	t á d e	t á d e - -	11	71	AFTER		
5020	Juruna	AFTER	táde / duháhé / tʃihé	duháhé	d u h á h é	d u h á h é	11	71	AFTER		
5021	Juruna	AFTER	táde / duháhé / tʃihé	tʃihé	tʃ i h é	tʃ i h é - -	11	71	AFTER		
5352	Mundurukú	AFTER	ŋəjdʒom / ŋebədʒe	ŋəjdʒom	ŋ ə j dʒ o m	ŋ ə - j - dʒ o m	4185	730	AFTER		
5353	Mundurukú	AFTER	ŋəjdʒom / ŋebədʒe	ŋebədʒe	ŋ e b ə + dʒ e	ŋ e b ə + dʒ e -	4185	730 68	AFTER FUTURE		
6036	Mawe	AFTER	hawɨj / ẽ	hawɨj	h a w ɨi	h a w ɨi	13	2554	AFTER		
6037	Mawe	AFTER	hawɨj / ẽ	ẽ	ẽ	ẽ - - - - - -	8	65	AFTER		
6706	Parakana	AFTER	ʃowe	ʃowe	ʃ o w e	ʃ o w e -	3984	2338	AFTER		
7627	Tapirapé	AFTER	ãʔẽre / ire / rewe	ãʔẽre	ã ʔ ẽ r e	ã ʔ ẽ r e - -	8	65	AFTER		
7628	Tapirapé	AFTER	ãʔẽre / ire / rewe	ire	i r e	i r e - - - -	8	65	AFTER		
7629	Tapirapé	AFTER	ãʔẽre / ire / rewe	rewe	r e w e	- r e - - w e	8	65	AFTER		
7899	Tembe	AFTER	re / rire	re	r e	- r e - - - -	8	65	AFTER		
7900	Tembe	AFTER	re / rire	rire	r i r e	- r i r e - -	8	65	AFTER		
8232	Guajajara	AFTER	ire	ire	i r e	i r e - - - -	8	65	AFTER		
8568	Apiaka	AFTER	re	re	r e	- r e - - - -	8	65	AFTER		
8816	Parintintin	AFTER	aẽre / re	aẽre	a ẽ ɾ e	a - ẽ ɾ e - -	8	65	AFTER		
8817	Parintintin	AFTER	aẽre / re	re	ɾ e	- - - ɾ e - -	8	65	AFTER		
9182	Amondawa	AFTER	aẽre / re	aẽre	a ẽ ɾ e	a - ẽ ɾ e - -	8	65	AFTER		
9183	Amondawa	AFTER	aẽre / re	re	ɾ e	- ɾ e - - - -	8	65	AFTER		
9483	Tenharim	AFTER	aẽre / re	aẽre	a ẽ r e	a - ẽ r e - -	8	65	AFTER		
9484	Tenharim	AFTER	aẽre / re	re	r e	- r e - - - -	8	65	AFTER		
9948	Urueuwauwau	AFTER	aẽre / re	aẽre	a ẽ ɾ e	a - ẽ ɾ e - -	8	65	AFTER		
9949	Urueuwauwau	AFTER	aẽre / re	re	ɾ e	- ɾ e - - - -	8	65	AFTER		
10298	Kayabi	AFTER	ewiri / ire	ewiri	e w i r i	e w i r i - -	8	65	AFTER		
10299	Kayabi	AFTER	ewiri / ire	ire	i r e	i r e - - - -	8	65	AFTER		
10532	Araweté	AFTER	riri	riri	r i r i	- r i r i - -	8	65	AFTER		
11245	Teko	AFTER	kor / kobete	kor	k o r	k o - - r -	14	2326	AFTER		
11246	Teko	AFTER	kor / kobete	kobete	k o b e t e	k o b e t e	14	2326	AFTER		
11616	Wayampi	AFTER	ajawire / lile	ajawire	a j a + w i r e	a j a + w i r e	55	2328 65	? AFTER		
11617	Wayampi	AFTER	ajawire / lile	lile	l i l e	- l i l e - -	8	65	AFTER		
12021	Zo'e	AFTER	adire	adire	a d i r e	a d i r e - -	8	65	AFTER		
12263	Ka'apor	AFTER	ajameʔẽ ke / aja	ajameʔẽ ke	a j a + m e ʔ ẽ	a j a + m e ʔ ẽ	55	2328 16725	? THING		
12853	Kamajura	AFTER	riré	riré	r i r e	- r i r e - -	8	65	AFTER		
13130	Asuriní Xingu	AFTER	arire	arire	a r i r e	a r i r e - -	8	65	AFTER		
13610	Tupinambá	AFTER	ɾiɾé / ɾojɾé / ɾe	ɾiɾé	ɾ i ɾ e	- ɾ i ɾ e - -	8	65	AFTER		
